tweet,mentioned,hashtags,clean_tweet,Tweet length
@Reuters And then they wonder why Indians are not dying. The response by Western countries has been so lackadaisical. To take an example—India did this more than two months ago. #IndiaFightsCorona #COVID2019india #Covid19India,['@Reuters'],"['#IndiaFightsCorona', '#COVID2019india', '#Covid19India']",wonder indians dying response western countries lackadaisical take example india two months ago,95
And then they wonder why Indians are not dying. The response by Western countries has been so lackadaisical. To take an example—India did this more than two months ago. #IndiaFightsCorona #COVID2019india #Covid19India https://t.co/AKNKo2LcTu,[],"['#IndiaFightsCorona', '#COVID2019india', '#Covid19India']",wonder indians dying response western countries lackadaisical take example india two months ago,95
"We are only as strong as we are united, as weak as we are divided..🙏
#UnitedNotDivided
#COVID19India 
#ArnavGoswami https://t.co/IpihNAiCxD",[],"['#UnitedNotDivided', '#COVID19India', '#ArnavGoswami']",strong united weak divided,26
"#WorkFromHome may not be desirable, but is here to stay for the #ServiceSector for as long as the threat of #Covid_19india does not subside. #Employers need to develop the required technological interventions, and organisational strategies—to make it more feasible, and productive https://t.co/Fv8uXsZWmf",[],"['#WorkFromHome', '#ServiceSector', '#Covid_19india', '#Employers']",may desirable stay long threat subside need develop required technological interventions organisational strategies make feasible productive,139
"Fashion and clothing brands should now focus more on XL sizes

Cuz that's the size everybody will be buying after this lockdown.

*Just a heads-up for huge business

#Clothing #fashion #QuarantineLife #lockdownindia #apparel",[],"['#Clothing', '#fashion', '#QuarantineLife', '#lockdownindia', '#apparel']",fashion clothing brands focus xl sizes cuz size everybody buying lockdown heads huge business,93
"Corona Updates.        

It would be interesting to see the outcomes these decisions. The next few weeks will show us what works &amp; what not.

#corona #coronavirus #sadahaqnews #sadahaq #saaddahaq #saaddahaqnews #stayhome #staysafe @diljitdosanjh @JustinTrudeau @RajaBrar_INC https://t.co/O8H4ehsDw8","['@diljitdosanjh', '@JustinTrudeau', '@RajaBrar_INC']","['#corona', '#coronavirus', '#sadahaqnews', '#sadahaq', '#saaddahaq', '#saaddahaqnews', '#stayhome', '#staysafe']",corona updates would interesting see outcomes decisions next weeks show us works,80
"This is a very good thought 2 source d food directly frm d farmers, ""we eat &amp; we live"" becuz we get food frm farmers, now is d time 2 help them so It's time to get over d obsession with tur &amp; rajma n nominate yourself into this 👍🇮🇳#goa #IndiaFightsCorona
https://t.co/y1mu4QSAcW",[],"['#goa', '#IndiaFightsCorona']",good thought source food directly frm farmers eat live becuz get food frm farmers time help time get obsession tur rajma n nominate,131
"Today, my organization nirvaan bharat, today, the dry food laborers were distributed to the poor laborers in Delhi, New Ashok Nagar.
#StayHomeSaveLives https://t.co/ZmOpQJsr5n",[],['#StayHomeSaveLives'],today organization nirvaan bharat today dry food laborers distributed poor laborers delhi new ashok nagar,105
"You can get quite far in a democracy if you can convince a majority that they are victims of a minority, and that only you can protect them.

- @Kasparov63 

#Lockdown3  #coronavirus #coronavirusinindia #Covid_19 #BJP #REALITY",['@Kasparov63'],"['#Lockdown3', '#coronavirus', '#coronavirusinindia', '#Covid_19', '#BJP', '#REALITY']",get quite far democracy convince majority victims minority protect,66
"#Hindi #hindijoke #Hindistan #day37oflockdown #COVID__19 
#QuarantineLife #quarantine_joke 
#jokeoftheday
People say nothing is impossible 
But I do nothing everyday",[],"['#Hindi', '#hindijoke', '#Hindistan', '#day37oflockdown', '#COVID__19', '#QuarantineLife', '#quarantine_joke', '#jokeoftheday']",people say nothing impossible nothing everyday,46
"#Lockdown to Down memory lane...
Frankfurt, Germany https://t.co/o9ZU85R8Ry",[],['#Lockdown'],memory lane frankfurt germany,29
Random thoughts during this #pandemic #StayHomeStaySafe #doodle #randomthought #StayHomeSaveLives https://t.co/u7h8WaisrG,[],"['#pandemic', '#StayHomeStaySafe', '#doodle', '#randomthought', '#StayHomeSaveLives']",random thoughts,15
"This tweet confirms that @RahulGandhi is not only the real #pandemic for Congress but for entire Country. I urge Congress voter to come and see this is how he will run the country. So much hatred, So much jealousy. 😡😠😈🤬 https://t.co/5NHS17DJfX",['@RahulGandhi'],['#pandemic'],tweet confirms real congress entire country urge congress voter come see run country much hatred much jealousy,110
"Be #Spontaneous 
Seek new #stimulus 
#Look at old things in new ways
Find (or build) things that #delight you 

#WorkFromHome #WFHLife #SundayThoughts #WeekendWisdom",[],"['#Spontaneous', '#stimulus', '#Look', '#delight', '#WorkFromHome', '#WFHLife', '#SundayThoughts', '#WeekendWisdom']",seek new old things new ways find build things,46
"Each time I look at you, I am reminded why I wanted you to be my wife. I love you sweetheart, Happy Anniversary my sweetheart
And Thank you my wife you give me two gift to me 😘 Yuvraj jha and Sivans Jha 

#Marriage #Anniversary #celebration #lockdown #wife https://t.co/0y8RdiOjpG",[],"['#Marriage', '#Anniversary', '#celebration', '#lockdown', '#wife']",time look reminded wanted wife love sweetheart happy anniversary sweetheart thank wife give two gift yuvraj jha sivans jha,122
"AMAZON PRIME ::: MOVIE REVIEW :::
Madha (2020) (Telugu) :::

COMPLETE BULL SHIT. DON'T WATCH IT...... 0⭐ out of 5⭐

#AmazonPrime
#LockDown
#Madha
#crap @ Indian Lock Down https://t.co/m490gIjHL8",[],"['#AmazonPrime', '#LockDown', '#Madha', '#crap']",amazon prime movie review madha telugu complete bull shit watch indian lock,75
Thanku #Ramayan for new lessons for life. Welcome #ShreeKrishna @swwapniljoshi @DDNational Shows must go on..... #RamanandSagar @arungovil12 @ChikhliaDipika @LahriSunil #IndiaFightsCorona #UttarRamayan,"['@swwapniljoshi', '@DDNational', '@arungovil12', '@ChikhliaDipika', '@LahriSunil']","['#Ramayan', '#ShreeKrishna', '#RamanandSagar', '#IndiaFightsCorona', '#UttarRamayan']",thanku new lessons life welcome shows must go,45
"Cooking these #ladyfingers is really a tedious task...but finally I cooked for the first time 😜🤪😂☺😁🥘🍝🍜🍛🍲🥗
#cookinglife🍴 #cookingathome #greenvegetables #healthylifestyles #quarantinediaries🌱 #quarantinelife #me… https://t.co/iiZFtSwpHJ",[],"['#ladyfingers', '#cookinglife', '#cookingathome', '#greenvegetables', '#healthylifestyles', '#quarantinediaries', '#quarantinelife', '#me']",cooking really tedious task finally cooked first time,53
"Slowly, I an becoming quick at this entire video edit thing! Wrapped up a 6 minute long vlog edit in under 2 hours, which is a personal achievement! 😍😀 Video LIVE tomorrow morning 11:30! 

#dailyvlog #youtuber #Quarantine #Lockdown3 https://t.co/DKBeqrWF3O",[],"['#dailyvlog', '#youtuber', '#Quarantine', '#Lockdown3']",slowly becoming quick entire video edit thing wrapped minute long vlog edit hours personal achievement video live tomorrow morning,130
"Inspired by @JugalBhurtel sir's attempt.  
With minor mistakes, managed to pull this off. #hajarsapana 
#bhaktaraj #cover #lockdown https://t.co/vDw9g9Np4d",['@JugalBhurtel'],"['#hajarsapana', '#bhaktaraj', '#cover', '#lockdown']",inspired sir attempt minor mistakes managed pull,48
"Railways are not running any trains other than special trains requisitioned by State Govts.

Passengers BROUGHT and FACILITATED by State Govts. can ONLY travel

No one should come to Station
No tickets are being sold at any station

#IndiaFightsCorona @RailMinIndia https://t.co/Ft5x04OaAa",['@RailMinIndia'],['#IndiaFightsCorona'],railways running trains special trains requisitioned state govts passengers brought facilitated state govts travel one come station tickets sold station,152
What is the average of Delhi cases per day from the day 1 of #Lockdown ? https://t.co/cd12vzFFJE,[],['#Lockdown'],average delhi cases per day day,31
"#EatToLive or #LiveToEat ?

A question 4the ages. 

#Comforting #foods though, can bring #satiety, a feeling of belonging to the #moment,even if only for a flash

#SocialDistancing and the #lockdown blues are a perfect time for those #ComfortFood indulgence 

Thx @ChumkiBharadwaj https://t.co/SkC8Ts72ch",['@ChumkiBharadwaj'],"['#EatToLive', '#LiveToEat', '#Comforting', '#foods', '#satiety', '#moment', '#SocialDistancing', '#lockdown', '#ComfortFood']",question ages though bring feeling belonging even flash blues perfect time indulgence thx,89
"Corona - Part 1 
Home Sweet Home

What does safety mean for those without a home ? 
#pandemic #sadness #homeless  #dread https://t.co/HO21mleapm",[],"['#pandemic', '#sadness', '#homeless', '#dread']",corona part home sweet home safety mean without home,52
"Try these simple tips to engage yourself at home and keep your spirits high during the lockdown. Corona Updates.
#corona #coronavirus #sadahaqnews #sadahaq #saaddahaq #saaddahaqnews #covid_19 #stayhome #staysafe  @diljitdosanjh @JustinTrudeau @harbhajan_singh @petervirdee https://t.co/p4l5IrPQ09","['@diljitdosanjh', '@JustinTrudeau', '@harbhajan_singh', '@petervirdee']","['#corona', '#coronavirus', '#sadahaqnews', '#sadahaq', '#saaddahaq', '#saaddahaqnews', '#covid_19', '#stayhome', '#staysafe']",try simple tips engage home keep spirits high lockdown corona updates,69
"Preventing spread is not enough for us to declare victory! When we bring our countrymen out of despair, only then can we say that we defeated the worst pandemic in centuries!! #IndiaFightsCorona #FeedtheNeedy  #coronavirus @CsrOngc @ONGC_ @CMD_ONGC @ongcvideshltd @vishalsw07 https://t.co/Ni43YmkaKP","['@CsrOngc', '@ONGC_', '@CMD_ONGC', '@ongcvideshltd', '@vishalsw07']","['#IndiaFightsCorona', '#FeedtheNeedy', '#coronavirus']",preventing spread enough us declare victory bring countrymen despair say defeated worst pandemic centuries,106
"On 3rd of May, 2020 at 
10.30 am and 12.30 pm 

India will not stop dreaming....
#IndiaFightsCorona https://t.co/vZRnsgiJYz",[],['#IndiaFightsCorona'],rd may pm india stop dreaming,29
"Nature rejoice, 
for spring is here 
Flowers burst into bloom 
everywhere 

- Ellie Mabin 

Nature rejoicing while we are in #lockdown . Somewhere in the national highway around Kaziranga, Assam. #whatsappwonderbox https://t.co/xbOlDOq1lY",[],"['#lockdown', '#whatsappwonderbox']",nature rejoice spring flowers burst bloom everywhere ellie mabin nature rejoicing somewhere national highway around kaziranga assam,131
"I got it figured out now . Government plans to keep extending the lockdown till you can see the Himalayas from Mumbai 😜
#Lockdownextention #LOCKDOWN2020 #IndiaFightsCorona #CoronaLockdown #Lockdown3",[],"['#Lockdownextention', '#LOCKDOWN2020', '#IndiaFightsCorona', '#CoronaLockdown', '#Lockdown3']",got figured government plans keep extending lockdown till see himalayas mumbai,78
"If we don't heed to the government directives, our situation will become like a watermelon- open the green zones and it will become a red zone!!
#coronavirus #lockdown #RedZones #greenzones @Sanjay_onair https://t.co/ZiAaV1w3i6",['@Sanjay_onair'],"['#coronavirus', '#lockdown', '#RedZones', '#greenzones']",heed government directives situation become like watermelon open green zones become red zone,92
Shocking but a sad reality of #pandemic https://t.co/N0sGwLldep,[],['#pandemic'],shocking sad reality,20
"Agriculture, pharma, IT, media, education, #FMCG etc have been working during #lockdown.  Nobody derails India,  not even #coronavirus... V respect the power of the virus 4 cleaning our environment... V humbly put on a #mask plus v happily live in  #ekantvas... This is Hinduism.",[],"['#FMCG', '#lockdown', '#coronavirus', '#mask', '#ekantvas']",agriculture pharma media education etc working nobody derails india even v respect power virus cleaning environment v humbly put plus v happily live hinduism,157
"I don't trust, nobody people talkin &amp; be tellin
lies.
.
.
.
#SaturdayThoughts
#StayHome
#gharrehoindia #COVIDー19 https://t.co/PafJrLgOTE",[],"['#SaturdayThoughts', '#StayHome', '#gharrehoindia', '#COVID']",trust nobody people talkin tellin lies,38
#AskArun @arungovil12 Can we see you in New role in coming days sir after huge success of #RAMAYAN #UttarRamayan once again. Wish to see on Big screen did you got any new offer sir during #Lockdown while #IndiaFightsCorona @DDNational @LahriSunil @ChikhliaDipika,"['@arungovil12', '@DDNational', '@LahriSunil', '@ChikhliaDipika']","['#AskArun', '#RAMAYAN', '#UttarRamayan', '#Lockdown', '#IndiaFightsCorona']",see new role coming days sir huge success wish see big screen got new offer sir,79
@TheOfficialSBI Delhi Circle’s #CoronaWarriors serving customers with protective kits at branches inside/ in the vicinity of Medical colleges/ Hospitals. Customer service is our duty and safety of staff as well as customers is our concern. #StayHome #Staysafe #GoDigital https://t.co/ivEhZmxy5D,['@TheOfficialSBI'],"['#CoronaWarriors', '#StayHome', '#Staysafe', '#GoDigital']",delhi circle serving customers protective kits branches inside vicinity medical colleges hospitals customer service duty safety staff well customers concern,156
"Weekend Scene ..3 hrs different Workouts 🏋️‍♀️ Cycling Interval,Shoulder &amp; Core strength. #TeamICC #unstoppable #garmin #lockdown2020 #quarantinelife #fightcovid19 #stayhome #staysafe #staystrong  #garminfenix… https://t.co/p07g3aug7L",[],"['#TeamICC', '#unstoppable', '#garmin', '#lockdown2020', '#quarantinelife', '#fightcovid19', '#stayhome', '#staysafe', '#staystrong', '#garminfenix']",weekend scene hrs different workouts cycling interval shoulder core strength,76
"For Every Minute You Are Angry You Lose Sixty Seconds Of Happiness.

 - Ralph Waldo Emerson

#lockdown #Corona #Trending #quotes #SaturdayThoughts #SaturdayMotivation",[],"['#lockdown', '#Corona', '#Trending', '#quotes', '#SaturdayThoughts', '#SaturdayMotivation']",every minute angry lose sixty seconds happiness ralph waldo emerson,67
"The perfect morning flow to keep your quarantine blues away, here's @nidhimohankamal teaching you a session of #SaturdayStretches.

Visit the link to learn more from the master herself - https://t.co/ciQ8Ym7WAv

#SoulProject #letyourSOULPlay #Wellness #Yoga #Fitness #Quarantine",['@nidhimohankamal'],"['#SaturdayStretches', '#SoulProject', '#letyourSOULPlay', '#Wellness', '#Yoga', '#Fitness', '#Quarantine']",perfect morning flow keep quarantine blues away teaching session visit link learn master,88
"One Gurudwara in Auckland has served food to more than 50,000 people amidst #lockdown #COVID https://t.co/BF0Fo3LzvP",[],"['#lockdown', '#COVID']",one gurudwara auckland served food people amidst,48
"#StayHome #lockdownindia
#Covid_19 #staysafe #Amazon #business #healthy #FitnessMotivation #Vegan #HealthcareHeroes #WomensHealth #organic #Diet #HealthyFood 
This variety is Better than Mamra
Premium Quality Afghan Almonds Kagzi Jumbo 400gms, via @amazon  https://t.co/eBMlZfzg4Q https://t.co/25iApvnrzK",['@amazon'],"['#StayHome', '#lockdownindia', '#Covid_19', '#staysafe', '#Amazon', '#business', '#healthy', '#FitnessMotivation', '#Vegan', '#HealthcareHeroes', '#WomensHealth', '#organic', '#Diet', '#HealthyFood']",variety better mamra premium quality afghan almonds kagzi jumbo gms via,71
"#Bengal  is a horror story of misgovernance. What has replaced communism is not #Pariborton, but a corrupt system of inefficient allocation of resources, and state patronage to inept leadership. #BengalFightsCorona #IndiaFightsCorona #India #IndiaFightsCOVID19 #Covid_19india https://t.co/KhkpGIeFG4",[],"['#Bengal', '#Pariborton', '#BengalFightsCorona', '#IndiaFightsCorona', '#India', '#IndiaFightsCOVID19', '#Covid_19india']",horror story misgovernance replaced communism corrupt system inefficient allocation resources state patronage inept leadership,126
"Day 41 

A Visitor!! 

Yellow-footed Green Pigeon

#lockdown https://t.co/rskr1VVfot",[],['#lockdown'],day visitor yellow footed green pigeon,38
"@aajtak @ArvindKejriwal I agree what you have said.
All #Delhi should not be declared in #RedZone.
#coronavirus can only be stopped with maximum tests and treatment of  #Positivepatients.
Lockdown is not the solution to stop #coronavirusinindia.
 #Medicine or #vaccination is the only Solution to stop.","['@aajtak', '@ArvindKejriwal']","['#Delhi', '#RedZone', '#coronavirus', '#Positivepatients', '#coronavirusinindia', '#Medicine', '#vaccination']",agree said declared stopped maximum tests treatment lockdown solution stop solution stop,88
"Q- who declared #coronavirus as a #pandemic
A- WHO declared #coronavirus as a #pandemic @WHO #CoronaVirusUpdates #Covid_19 @pokershash","['@WHO', '@pokershash']","['#coronavirus', '#pandemic', '#coronavirus', '#pandemic', '#CoronaVirusUpdates', '#Covid_19']",q declared declared,19
"In her article in #HT of today @BDUTT has rightly concluded #lockdown must ease as more of it will be 'a cure worse than the disease.' Open avenues where social distancing is easy  to implement. Elementary, my dear Watson. Use commonsense. Don't delay.",['@BDUTT'],"['#HT', '#lockdown']",article today rightly concluded must ease cure worse disease open avenues social distancing easy implement elementary dear watson use commonsense delay,151
"Sanitization work in Malviya Nagar
Thank you . @PMOIndia @AamAadmiParty  @narendramodi @ArvindKejriwal @DelhiPolice
&amp; Special thanks to #CoronaWarriors

 #lockdownindia #Covid_19 #COVID #StayAtHome #StayHome #DelhiPoliceJawabDo #DelhiFightsCorona #COVID #IndiaFightsCOVID19 https://t.co/TDx01l0vVz","['@PMOIndia', '@AamAadmiParty', '@narendramodi', '@ArvindKejriwal', '@DelhiPolice']","['#CoronaWarriors', '#lockdownindia', '#Covid_19', '#COVID', '#StayAtHome', '#StayHome', '#DelhiPoliceJawabDo', '#DelhiFightsCorona', '#COVID', '#IndiaFightsCOVID19']",sanitization work malviya nagar thank special thanks,52
Read my letter to Corona-  https://t.co/T01aaB2Ivp #Corona #CoronavirusOutbreak #CoronaUpdate #Covid_19 #COVID #lockdownindia #StayHome #COVID__19 https://t.co/hu5x1E86e6,[],"['#Corona', '#CoronavirusOutbreak', '#CoronaUpdate', '#Covid_19', '#COVID', '#lockdownindia', '#StayHome', '#COVID__19']",read letter corona,18
"Just another Saturday &amp; sporting planes!

#SaturdayMotivation #lockdownindia #Lockdown3 #StayHome #Coronavid19 #BeSafe #planespotting https://t.co/gpPl533YTj",[],"['#SaturdayMotivation', '#lockdownindia', '#Lockdown3', '#StayHome', '#Coronavid19', '#BeSafe', '#planespotting']",another saturday sporting planes,32
"@boschindia Hello, i had purchased a refrigerator 11 months ago, at Delhi, it has stopped cooling now, registered a complaint, technician saw the product on a video call, says problem with compressor, will be able to come post lifting of #lockdown, we are finding it difficult.",['@boschindia'],['#lockdown'],hello purchased refrigerator months ago delhi stopped cooling registered complaint technician saw product video call says problem compressor able come post lifting finding difficult,181
So the foodies within us wake us up everyday to try out something delicious on our own as we cnt order it from outside ... few more #quarantine special reciepes tried by me #foodies #cravings #loveforcooking… https://t.co/4lXeGBh3j1,[],"['#quarantine', '#foodies', '#cravings', '#loveforcooking']",foodies within us wake us everyday try something delicious cnt order outside special reciepes tried,99
