Topic,Topic prob,diff,Document,Tweet
6,0.3402529573357168,0.006937793441932516,0,wonder indians dying response western countries lackadaisical take example india two months ago
6,0.3402529573357168,0.006937793441932516,1,wonder indians dying response western countries lackadaisical take example india two months ago
1,0.25279711695592955,0.032797101411089435,2,may desirable stay long threat subside need develop required technological interventions organisational strategies make feasible productive
4,0.5499981853646341,0.4999971605299837,3,fashion clothing brands focus xl sizes cuz size everybody buying lockdown heads huge business
7,0.35001340248179375,2.7805933726421372e-05,4,corona updates would interesting see outcomes decisions next weeks show us works
8,0.5978274225397008,0.2683935522828362,5,good thought source food directly frm farmers eat live becuz get food frm farmers time help time get obsession tur rajma n nominate
3,0.622198254443195,0.37774276860223654,6,today organization nirvaan bharat today dry food laborers distributed poor laborers delhi new ashok nagar
8,0.6999449702965277,0.6665878762029442,7,get quite far democracy convince majority victims minority protect
5,0.2864864365206519,0.01148644802150417,8,people say nothing impossible nothing everyday
7,0.6060925820164363,0.4495921844724175,9,tweet confirms real congress entire country urge congress voter come see run country much hatred much jealousy
8,0.4199995423346624,1.5764986458499664e-06,10,seek new old things new ways find build things
8,0.5367865944797772,0.34568556950782914,11,time look reminded wanted wife love sweetheart happy anniversary sweetheart thank wife give two gift yuvraj jha sivans jha
9,0.3666666516996515,3.0693677925797136e-05,12,amazon prime movie review madha telugu complete bull shit watch indian lock
8,0.6199862488130373,0.3999889149119198,13,thanku new lessons life welcome shows must go
3,0.6999805442050077,0.6666363364846799,14,cooking really tedious task finally cooked first time
9,0.5156457246870036,0.32736805409729064,15,slowly becoming quick entire video edit thing wrapped minute long vlog edit hours personal achievement video live tomorrow morning
8,0.5499867140423333,0.4999767460178058,16,inspired sir attempt minor mistakes managed pull
5,0.5857139645799551,0.4034020461692981,17,railways running trains special trains requisitioned state govts passengers brought facilitated state govts travel one come station tickets sold station
3,0.4049734576699809,0.12785470642313246,18,average delhi cases per day day
1,0.37019315180708134,0.007091925573823099,19,question ages though bring feeling belonging even flash blues perfect time indulgence thx
1,0.72856322259575,0.5714209195670208,20,corona part home sweet home safety mean without home
7,0.3728854926800963,0.00555328400375299,21,try simple tips engage home keep spirits high lockdown corona updates
6,0.34367081175280806,0.04734410621116342,22,preventing spread enough us declare victory bring countrymen despair say defeated worst pandemic centuries
2,0.6199845156888568,0.3999878472972276,23,rd may pm india stop dreaming
5,0.29991654278195296,0.07082354306732655,24,got figured government plans keep extending lockdown till see himalayas mumbai
4,0.4685827134177235,0.25774088898564523,25,heed government directives situation become like watermelon open green zones become red zone
2,0.6254784717712568,0.3843139771080507,26,agriculture pharma media education etc working nobody derails india even v respect power virus cleaning environment v humbly put plus v happily live hinduism
6,0.549993822373915,0.4999890930543805,27,trust nobody people talkin tellin lies
0,0.60164141025745,0.29218369548184425,28,see new role coming days sir huge success wish see big screen got new offer sir
9,0.40445331319525385,0.13820803414860888,29,delhi circle serving customers protective kits branches inside vicinity medical colleges hospitals customer service duty safety staff well customers concern
0,0.5499907314404292,0.49998425739123403,30,weekend scene hrs different workouts cycling interval shoulder core strength
6,0.5499927954081624,0.4999855909488547,31,every minute angry lose sixty seconds happiness ralph waldo emerson
1,0.4896922637243786,0.17938586830270414,32,perfect morning flow keep quarantine blues away teaching session visit link learn master
6,0.7749657125722074,0.7499461729987675,33,one gurudwara auckland served food people amidst
8,0.38907003882721586,0.04481673344439924,34,variety better mamra premium quality afghan almonds kagzi jumbo gms via
5,0.549999999865847,0.4999999998455815,35,horror story misgovernance replaced communism corrupt system inefficient allocation resources state patronage inept leadership
4,0.6999933687633018,0.666658058752091,36,day visitor yellow footed green pigeon
1,0.5249969975724289,0.2499976306570712,37,agree said declared stopped maximum tests treatment lockdown solution stop solution stop
9,0.6833277195867792,0.500000918314056,38,article today rightly concluded must ease cure worse disease open avenues social distancing easy implement elementary dear watson use commonsense delay
5,0.6104464626100969,0.3809027041772335,39,sanitization work malviya nagar thank special thanks
0,0.38182739537045873,0.03032212732457018,40,read letter corona
5,0.5499999997766832,0.4999999997429451,41,another saturday sporting planes
8,0.22238525411425294,0.002384984212112612,42,hello purchased refrigerator months ago delhi stopped cooling registered complaint technician saw product video call says problem compressor able come post lifting finding difficult
6,0.5166663366721125,0.3228379797571791,43,foodies within us wake us everyday try something delicious cnt order outside special reciepes tried
0,0.6256435047040096,0.411311895334446,44,planning study whether strain india undergone mutation spreading within country tha last months read
9,0.7617036299300739,0.6234122994839588,45,really sad know medical sample transportation open liquor shops get open third phase
8,0.43578682565796956,0.03158208811986257,46,male touch female female officer right touch male breach male rights female police also right touch male
9,0.549989803956462,0.4999824222630741,47,aloochap chatni mouth watering eat eat repeat follow
3,0.5499519161807457,0.4999298429115785,48,time ends either become completely insane mo
3,0.36666668080165465,3.911342781603988e-06,49,update feeding pampering total dogs cats started strays started trying cover many locations possible wish sponsor meal contribute ping
1,0.5095337781529499,0.2477811866307616,50,appreciate staying indoors real hero prevent virus one advice outside gonna help increase corona infected people plzz stay home
0,0.36666734023724773,1.1127836674007519e-05,51,continues provide meals doctors kitchen hospital closed dietician positive united sikhs immediately took sewa providing meals doctors medical staff
8,0.7749753460419477,0.7499628603871915,52,spicy fried potatoes dish never allow diet still love double tap like favourite dish guys comment
8,0.36666660496876397,1.1063541393963039e-05,53,jingle encouraging listeners leave home go remain season
9,0.8199700728591565,0.7999601796781397,54,matter priority people dying due lack medical facilities someone wants new palace ready
4,0.6999443440780043,0.6665786363888441,55,sathi india organization day date
4,0.3322643798648246,0.06634922844879315,56,everyday feeding would please share tag save help compassionate souls feed hungry souls
5,0.43419681027074686,0.06839980241324911,57,sanitation done mansa ram park near shiv mandir jj colony special thanks
4,0.49838860098651755,0.28346290651123396,58,india biggest day jump coronavirus cases count crosses read press release extension lockdown dt
2,0.5516853486243938,0.23672791619211925,59,day together together defeat family people counting
0,0.4502524367147028,0.13780977021445684,60,present face become important word face passing time stay home face mind please mention
2,0.4299473959912283,0.19031039638946828,61,kenya looks india lockdown explain people country india bn pple go partial curfew speaks india envoy kenya rahul chhabra much
0,0.6007671173298422,0.3615376931007343,62,look forward listen ms dixita mehta co founder zindagi foundation ceo psychologist head counsellor refresh restart lockdown given youth opportunity look within
2,0.4149463354221044,0.041286802517247145,63,food corporation india ensuring food every indian across nation lakh tonnes food grains transported various corners country via trains trucks ships
5,0.33996984795436785,0.015842469309666984,64,home studio watch today pm pm today
4,0.5499981853646341,0.4999971605299837,65,satisfied lockdown
6,0.8199828073904936,0.7999742767269555,66,keeping fit times essential good control type diabetes join fitness mins core session fitness forms
