Topic,Topic prob,diff,Document,Tweet
0,0.07951033310162567,0.070579885191768,0,wonder indians dying response western countries lackadaisical take example india two months ago
0,0.07951033310162567,0.070579885191768,1,wonder indians dying response western countries lackadaisical take example india two months ago
0,0.0,,2,strong united weak divided
7,0.06310058799598732,0.040171387399851655,3,may desirable stay long threat subside need develop required technological interventions organisational strategies make feasible productive
1,0.22234934737568904,0.22234934737568904,4,fashion clothing brands focus xl sizes cuz size everybody buying lockdown heads huge business
3,0.1470336426793817,0.10842429972141993,5,corona updates would interesting see outcomes decisions next weeks show us works
5,0.07498975464363043,0.07498975464363043,6,good thought source food directly frm farmers eat live becuz get food frm farmers time help time get obsession tur rajma n nominate
6,0.18367534424124785,0.09285578863903635,7,today organization nirvaan bharat today dry food laborers distributed poor laborers delhi new ashok nagar
5,0.011892089781413862,0.01040080278488928,8,get quite far democracy convince majority victims minority protect
5,0.05556914062784951,0.05556914062784951,9,people say nothing impossible nothing everyday
0,0.0,,10,memory lane frankfurt germany
0,0.0,,11,random thoughts
5,0.02160703230003019,0.016574409471898116,12,tweet confirms real congress entire country urge congress voter come see run country much hatred much jealousy
9,0.16630266814206662,0.16630266814206662,13,seek new old things new ways find build things
5,0.03466874409464687,0.03241508415160992,14,time look reminded wanted wife love sweetheart happy anniversary sweetheart thank wife give two gift yuvraj jha sivans jha
9,0.005063052078941773,0.0008917685957958157,15,amazon prime movie review madha telugu complete bull shit watch indian lock
9,0.11434272651243155,0.0997140499779471,16,thanku new lessons life welcome shows must go
5,0.04333492033260898,0.0431916135280218,17,cooking really tedious task finally cooked first time
9,0.01795805208864271,0.002673611191064162,18,slowly becoming quick entire video edit thing wrapped minute long vlog edit hours personal achievement video live tomorrow morning
5,0.012560052420601655,0.012560052420601655,19,inspired sir attempt minor mistakes managed pull
5,0.026856395256665506,0.01904030414703862,20,railways running trains special trains requisitioned state govts passengers brought facilitated state govts travel one come station tickets sold station
2,0.16843026506992312,0.08510736115875185,21,average delhi cases per day day
5,0.047671386024906885,0.047671386024906885,22,question ages though bring feeling belonging even flash blues perfect time indulgence thx
7,0.16860032930400382,0.12030474817039641,23,corona part home sweet home safety mean without home
3,0.16247764983402024,0.07633723418280071,24,try simple tips engage home keep spirits high lockdown corona updates
5,0.04225841667333158,0.03824848268166242,25,preventing spread enough us declare victory bring countrymen despair say defeated worst pandemic centuries
0,0.1133979592504615,0.09130395955832116,26,rd may pm india stop dreaming
0,0.0,,27,nature rejoice spring flowers burst bloom everywhere ellie mabin nature rejoicing somewhere national highway around kaziranga assam
1,0.07710207987326402,0.06709980242760472,28,got figured government plans keep extending lockdown till see himalayas mumbai
5,0.024363862728293682,0.01801955421077458,29,heed government directives situation become like watermelon open green zones become red zone
0,0.0,,30,shocking sad reality
0,0.06804383093818697,0.0534126109103229,31,agriculture pharma media education etc working nobody derails india even v respect power virus cleaning environment v humbly put plus v happily live hinduism
5,0.11121378302938115,0.11121378302938115,32,trust nobody people talkin tellin lies
9,0.1196532987313999,0.10373673305100174,33,see new role coming days sir huge success wish see big screen got new offer sir
4,0.09611685426384771,0.09365739454948302,34,delhi circle serving customers protective kits branches inside vicinity medical colleges hospitals customer service duty safety staff well customers concern
8,0.005163892250237083,0.005163892250237083,35,weekend scene hrs different workouts cycling interval shoulder core strength
5,0.01121249773106997,0.006528425426542819,36,every minute angry lose sixty seconds happiness ralph waldo emerson
5,0.011317572824132129,0.007447470152851722,37,perfect morning flow keep quarantine blues away teaching session visit link learn master
5,0.11824697339325259,0.11824697339325259,38,one gurudwara auckland served food people amidst
5,0.003666985203143883,0.0020243919974034233,39,variety better mamra premium quality afghan almonds kagzi jumbo gms via
0,0.009717459967545009,0.009717459967545009,40,horror story misgovernance replaced communism corrupt system inefficient allocation resources state patronage inept leadership
2,0.13941102256441676,0.13941102256441676,41,day visitor yellow footed green pigeon
1,0.06520382101120777,0.062076857615115395,42,agree said declared stopped maximum tests treatment lockdown solution stop solution stop
0,0.0,,43,q declared declared
6,0.09571815860733887,0.08442592915873597,44,article today rightly concluded must ease cure worse disease open avenues social distancing easy implement elementary dear watson use commonsense delay
5,0.01244950371906461,0.0009445728944983429,45,sanitization work malviya nagar thank special thanks
3,0.1085332324650802,0.10825898541711569,46,read letter corona
5,0.002082700276562402,0.002082700276562402,47,another saturday sporting planes
4,0.09820713639985841,0.08745475413244039,48,hello purchased refrigerator months ago delhi stopped cooling registered complaint technician saw product video call says problem compressor able come post lifting finding difficult
5,0.061336601558602294,0.061336601558602294,49,foodies within us wake us everyday try something delicious cnt order outside special reciepes tried
0,0.08998096949038707,0.08794673671199518,50,planning study whether strain india undergone mutation spreading within country tha last months read
5,0.021636093909659693,0.016324686206510956,51,really sad know medical sample transportation open liquor shops get open third phase
5,0.012711404171283814,0.011844455776935405,52,male touch female female officer right touch male breach male rights female police also right touch male
7,0.01057038528981373,0.003971928452163944,53,aloochap chatni mouth watering eat eat repeat follow
5,0.054187861856927116,0.05272525911211339,54,time ends either become completely insane mo
5,0.009701091210834054,0.0009220539951095459,55,update feeding pampering total dogs cats started strays started trying cover many locations possible wish sponsor meal contribute ping
7,0.11827312141517075,0.03395761556123435,56,appreciate staying indoors real hero prevent virus one advice outside gonna help increase corona infected people plzz stay home
0,0.004249131728021493,0.002714531173753171,57,continues provide meals doctors kitchen hospital closed dietician positive united sikhs immediately took sewa providing meals doctors medical staff
5,0.04376187630245195,0.04376187630245195,58,spicy fried potatoes dish never allow diet still love double tap like favourite dish guys comment
7,0.13197946667096505,0.13184932959492632,59,jingle encouraging listeners leave home go remain season
9,0.11239746387943722,0.06179462961465207,60,matter priority people dying due lack medical facilities someone wants new palace ready
2,0.1753623960017949,0.03879417462377996,61,sathi india organization day date
5,0.04766380068329603,0.04417365865216808,62,everyday feeding would please share tag save help compassionate souls feed hungry souls
5,0.013130343070107003,0.013130343070107003,63,sanitation done mansa ram park near shiv mandir jj colony special thanks
0,0.0925213280605115,0.008099165132112965,64,india biggest day jump coronavirus cases count crosses read press release extension lockdown dt
2,0.06734795395641288,0.021351987180693664,65,day together together defeat family people counting
