Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
covid,113.3,stay,105.0,india,141.9,delhi,157.2,lockdown,241.0,home,78.9,day,139.0,app,56.1,need,75.1,please,108.1
corona,62.8,one,102.2,pm,86.1,new,148.4,days,79.3,due,58.1,people,114.4,help,49.6,life,66.1,social,63.1
migrant,47.1,like,70.1,covid,74.3,cases,136.8,food,68.9,allowed,52.1,see,55.1,save,48.1,go,59.1,going,61.1
workers,47.1,good,63.1,us,53.1,today,68.9,corona,61.0,govt,44.7,take,53.9,lives,45.1,world,56.1,distancing,55.1
india,41.2,health,58.7,may,50.0,india,59.0,updates,55.1,activities,43.0,every,51.7,much,43.0,things,40.1,even,53.0
pandemic,39.2,safe,51.8,fight,45.6,time,43.1,ji,36.0,work,41.8,many,43.3,great,43.0,get,35.1,know,51.5
face,37.1,indian,48.8,govt,44.8,total,40.0,may,33.3,red,39.0,times,39.0,want,40.1,better,34.3,look,49.1
guidelines,36.1,make,45.9,modi,44.6,first,38.1,post,26.6,well,38.8,thanks,37.1,country,37.2,one,31.3,let,47.4
safety,29.2,lakh,43.9,together,41.1,k,37.1,done,26.5,zones,37.8,sir,36.2,thank,36.5,another,29.1,video,46.1
mask,28.1,home,42.3,taken,38.1,open,36.9,till,26.1,state,35.6,per,32.1,people,35.8,time,27.1,keep,41.7
