Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
india,3.6,lockdown,4.4,day,4.1,corona,2.9,delhi,3.9,people,2.1,today,3.7,home,3.1,covid,3.8,new,3.7
may,1.0,guidelines,0.2,per,0.2,updates,2.6,police,0.2,us,1.5,pm,0.7,stay,2.0,fight,0.7,video,0.4
cases,1.0,may,0.2,happy,0.2,warriors,0.3,guidelines,0.2,one,1.4,made,0.2,safe,0.9,govt,0.3,things,0.2
govt,0.5,one,0.2,every,0.1,virus,0.1,liquor,0.1,like,1.2,nation,0.1,work,0.4,taken,0.3,watch,0.2
days,0.4,follow,0.2,morning,0.1,activities,0.1,government,0.1,time,1.0,may,0.1,please,0.3,modi,0.3,may,0.1
modi,0.4,till,0.2,love,0.1,zone,0.1,get,0.1,help,1.0,th,0.1,keep,0.2,warriors,0.2,life,0.1
lakh,0.4,time,0.1,good,0.1,salute,0.1,like,0.1,please,0.7,let,0.1,follow,0.2,country,0.2,cases,0.1
total,0.3,appeal,0.1,working,0.1,red,0.1,app,0.1,food,0.5,salute,0.1,police,0.2,measures,0.2,look,0.1
government,0.3,due,0.1,work,0.1,lives,0.1,open,0.1,good,0.5,everyday,0.1,appeal,0.2,due,0.2,pm,0.1
th,0.3,zones,0.1,green,0.1,follow,0.1,important,0.1,know,0.4,cases,0.1,liquor,0.2,pandemic,0.2,last,0.1
